date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,et0_fao_evapotranspiration
2025-02-19,31.5,27.0,2.3,14.4,4.28
2025-02-20,32.4,27.0,0.9,12.2,4.36
2025-02-21,32.0,27.1,2.0,15.9,4.2
2025-02-22,32.0,26.4,12.7,14.1,4.12
2025-02-23,31.0,25.1,0.8,11.1,2.71
2025-02-24,31.9,26.1,0.1,14.5,4.25
2025-02-25,31.9,26.8,5.5,13.8,4.2
2025-02-26,31.6,26.4,1.4,14.8,4.1
2025-02-27,32.4,26.1,0.7,13.1,4.36
2025-02-28,31.8,26.0,1.5,13.7,4.13
2025-03-01,31.6,26.5,1.0,12.5,4.2
2025-03-02,32.3,26.9,0.4,14.1,4.33
2025-03-03,32.2,27.2,4.4,16.4,4.2
2025-03-04,32.0,26.4,2.8,19.8,4.26
2025-03-05,30.6,27.0,7.6,15.4,4.12
2025-03-06,32.0,26.4,3.4,17.2,4.41
2025-03-07,32.7,26.6,0.5,13.5,4.39
2025-03-08,32.2,27.4,0.3,14.7,4.33
2025-03-09,31.2,27.5,1.9,15.7,3.93
2025-03-10,32.7,27.5,0.8,15.6,4.74
2025-03-11,31.2,27.2,2.8,16.2,3.97
2025-03-12,31.8,27.0,0.3,14.3,4.24
2025-03-13,32.2,26.5,0.5,17.4,4.57
2025-03-14,31.9,27.4,0.7,14.6,4.71
2025-03-15,32.0,27.5,2.2,14.1,4.14
2025-03-16,31.6,27.4,4.3,16.3,4.17
2025-03-17,32.2,25.7,3.2,16.4,4.44
2025-03-18,31.2,26.5,2.1,15.8,3.73
2025-03-19,30.5,26.7,2.7,14.4,4.24
2025-03-20,30.9,27.0,0.2,14.1,3.11
2025-03-21,31.9,27.6,1.3,15.5,4.24
2025-03-22,31.5,26.0,3.3,11.8,4.14
2025-03-23,31.5,26.5,2.4,14.8,3.58
2025-03-24,31.5,26.8,5.9,12.3,4.39
2025-03-25,31.9,27.0,2.8,14.5,4.1
2025-03-26,29.0,25.9,7.4,16.7,2.94
2025-03-27,31.5,25.4,0.8,13.9,4.48
2025-03-28,31.2,27.1,1.9,13.1,4.44
2025-03-29,31.8,27.5,0.3,17.0,4.59
2025-03-30,31.8,26.6,18.6,18.7,3.69
2025-03-31,31.4,25.5,9.6,17.2,4.12
2025-04-01,31.2,27.3,6.0,16.6,4.23
2025-04-02,30.6,24.6,18.9,15.2,3.53
2025-04-03,31.4,25.3,4.8,12.6,4.03
2025-04-04,31.6,26.9,0.1,13.0,4.61
2025-04-05,32.2,27.6,0.4,16.0,4.86
2025-04-06,32.0,27.0,3.0,16.2,4.57
2025-04-07,31.1,27.2,0.7,16.0,4.31
2025-04-08,31.9,26.9,1.2,17.2,4.61
2025-04-09,30.9,24.5,25.7,13.9,2.7
2025-04-10,31.2,26.6,5.7,13.8,3.77
2025-04-11,30.2,25.1,25.4,11.0,3.42
2025-04-12,31.2,25.0,0.0,11.1,4.5
2025-04-13,31.8,27.4,5.0,14.6,4.6
2025-04-14,31.8,27.5,13.4,15.3,4.05
2025-04-15,30.8,25.1,4.1,17.3,4.25
2025-04-16,30.9,25.5,5.7,17.8,4.54
2025-04-17,31.8,26.0,3.5,12.5,4.04
2025-04-18,32.0,26.4,0.2,14.7,4.56
2025-04-19,31.3,27.6,3.6,15.2,4.24
2025-04-20,31.5,26.9,8.1,13.0,4.35
2025-04-21,32.1,26.8,2.6,14.2,4.58
2025-04-22,32.0,25.5,14.7,17.6,4.7
2025-04-23,30.8,24.6,6.8,14.3,4.02
2025-04-24,32.2,26.4,0.0,12.9,4.76
2025-04-25,32.0,27.1,0.1,16.1,4.84
2025-04-26,30.5,26.6,6.9,13.1,3.47
2025-04-27,30.1,24.4,1.0,13.9,2.62
2025-04-28,31.9,26.3,1.7,11.1,4.25
2025-04-29,30.3,26.1,4.4,15.2,2.74
2025-04-30,31.8,24.9,0.0,12.3,4.29
2025-05-01,30.6,24.9,3.5,10.1,3.12
2025-05-02,30.1,24.8,21.2,8.1,3.16
2025-05-03,31.3,24.6,0.0,10.0,4.53
2025-05-04,31.1,26.9,5.2,11.9,4.18
2025-05-05,31.1,27.0,3.7,13.3,4.43
2025-05-06,31.5,25.5,1.0,13.2,4.6
2025-05-07,31.9,26.9,7.3,10.2,4.8
2025-05-08,31.9,25.8,11.5,13.9,4.09
2025-05-09,29.7,26.9,14.9,14.8,3.87
2025-05-10,31.3,26.7,0.9,14.2,4.7
2025-05-11,32.0,26.5,0.3,12.4,4.76
2025-05-12,31.7,27.0,1.1,13.8,4.74
2025-05-13,30.6,26.0,8.1,15.4,3.83
2025-05-14,31.6,25.8,0.1,13.9,4.93
2025-05-15,31.9,27.0,1.7,12.3,4.24
2025-05-16,31.9,26.6,10.8,12.1,4.52
2025-05-17,30.3,25.9,26.8,11.3,2.98
2025-05-18,29.5,25.2,6.5,10.4,2.13
2025-05-19,31.9,24.9,0.0,13.3,4.83
2025-05-20,30.4,25.5,7.7,15.9,3.31
2025-05-21,30.2,24.5,2.4,14.6,3.86
2025-05-22,30.7,25.2,7.2,8.9,4.15
2025-05-23,29.8,25.4,10.6,15.6,3.87
2025-05-24,29.9,25.5,13.4,16.1,2.99
2025-05-25,31.5,25.0,0.0,10.6,4.44
2025-05-26,31.5,26.8,0.0,16.5,4.52
2025-05-27,30.0,25.7,1.0,13.8,3.8
2025-05-28,30.0,24.6,4.9,14.1,3.88
2025-05-29,28.2,24.8,17.9,11.5,2.18
2025-05-30,31.2,24.8,5.7,8.9,3.81
2025-05-31,31.0,26.2,0.0,13.5,4.7
2025-06-01,31.2,26.8,0.8,17.3,4.23
2025-06-02,30.2,26.0,3.4,14.9,3.79
2025-06-03,30.0,24.2,21.5,15.6,4.18
2025-06-04,29.6,24.1,21.8,9.9,3.05
2025-06-05,30.9,25.2,5.9,11.8,4.24
2025-06-06,29.8,25.1,3.4,12.1,3.74
2025-06-07,28.6,24.4,10.8,9.9,2.6
2025-06-08,30.5,25.2,7.7,14.1,4.03
2025-06-09,29.6,25.5,17.8,10.9,3.04
2025-06-10,29.6,24.6,1.4,11.0,4.07
2025-06-11,30.0,25.5,8.8,12.6,3.47
2025-06-12,30.6,24.6,4.2,14.0,3.79
2025-06-13,29.6,25.0,1.8,13.8,3.31
2025-06-14,27.5,24.4,62.1,12.8,1.72
2025-06-15,30.4,24.1,21.8,11.0,3.36
2025-06-16,29.7,24.6,3.2,13.0,3.44
2025-06-17,29.4,25.2,2.4,12.7,3.12
2025-06-18,29.1,24.3,19.1,12.2,3.41
2025-06-19,28.9,23.8,24.4,12.1,2.92
2025-06-20,29.5,24.0,15.9,14.0,3.35
2025-06-21,28.6,24.9,3.4,10.9,2.43
2025-06-22,28.0,24.5,14.6,11.7,3.15
2025-06-23,29.2,24.5,6.1,9.8,3.49
2025-06-24,28.5,24.4,8.5,11.8,3.32
2025-06-25,30.2,24.5,3.3,12.6,4.11
2025-06-26,29.1,25.0,9.0,11.7,2.53
2025-06-27,28.8,24.0,3.4,12.5,2.89
2025-06-28,28.9,24.0,2.8,15.2,4.22
2025-06-29,28.5,25.1,12.0,15.2,3.46
2025-06-30,28.1,24.0,13.5,14.2,2.96
2025-07-01,29.4,23.9,9.5,15.0,3.86
2025-07-02,29.8,24.5,3.0,12.6,3.92
2025-07-03,28.5,24.0,14.0,17.1,2.71
2025-07-04,26.6,23.9,10.2,14.9,2.48
2025-07-05,28.4,23.1,5.6,16.0,3.23
2025-07-06,28.0,24.2,11.2,14.5,3.51
2025-07-07,27.1,24.5,16.0,15.8,2.74
2025-07-08,28.4,24.0,8.8,18.0,2.53
2025-07-09,28.4,23.8,4.7,16.3,2.98
2025-07-10,28.6,24.0,1.1,13.9,3.21
2025-07-11,28.0,23.8,2.4,17.1,3.65
2025-07-12,27.1,24.0,1.6,22.7,3.52
2025-07-13,28.2,23.6,0.8,15.9,4.5
2025-07-14,29.5,22.5,0.0,11.5,4.3
2025-07-15,28.7,23.5,0.1,13.8,4.42
2025-07-16,27.3,24.4,1.8,17.6,2.57
2025-07-17,27.7,24.1,2.8,18.1,3.84
2025-07-18,28.5,23.8,0.2,14.0,4.23
2025-07-19,28.6,23.6,0.3,14.3,4.01
2025-07-20,27.6,24.1,1.0,18.8,3.17
2025-07-21,28.2,24.3,0.7,22.3,3.99
2025-07-22,27.9,24.1,1.7,18.3,3.62
2025-07-23,27.7,24.1,3.3,19.2,3.91
2025-07-24,28.1,23.9,0.7,18.8,4.2
2025-07-25,28.0,23.7,0.3,16.1,3.26
2025-07-26,28.2,23.9,0.2,17.7,4.08
2025-07-27,27.3,24.0,1.3,17.6,3.44
2025-07-28,27.6,23.9,0.0,15.3,2.91
2025-07-29,27.2,23.7,0.2,15.8,2.78
2025-07-30,27.6,24.1,0.2,15.2,3.02
2025-07-31,27.8,24.1,2.7,19.2,2.49
2025-08-01,29.3,23.7,3.7,14.4,3.94
2025-08-02,29.0,23.8,1.8,13.4,2.94
2025-08-03,28.0,24.3,11.2,16.9,3.07
2025-08-04,26.0,23.6,33.1,19.9,1.47
2025-08-05,27.4,23.5,3.1,15.1,3.08
2025-08-06,26.9,23.9,4.3,15.8,2.57
2025-08-07,27.9,23.6,1.5,18.9,3.48
2025-08-08,27.6,23.8,2.7,19.2,3.71
2025-08-09,27.5,23.7,3.4,12.2,2.21
2025-08-10,28.2,23.5,0.7,15.1,3.95
2025-08-11,27.5,23.8,0.2,14.1,2.79
2025-08-12,27.0,23.9,0.7,14.7,3.03
2025-08-13,26.9,23.5,1.4,14.8,3.16
2025-08-14,27.6,23.2,0.7,16.2,3.72
2025-08-15,27.8,23.3,1.6,15.7,3.29
2025-08-16,27.1,24.0,3.1,18.9,3.56
2025-08-17,27.2,23.5,1.7,19.1,4.1
2025-08-18,27.5,23.7,1.3,15.9,3.79
2025-08-19,27.2,23.0,0.9,15.3,3.48
2025-08-20,28.0,24.0,0.6,14.4,3.92
2025-08-21,26.7,24.0,5.4,15.6,2.62
2025-08-22,28.4,23.9,3.5,17.8,4.03
2025-08-23,27.8,23.8,1.2,18.8,4.12
2025-08-24,28.0,24.2,0.6,18.4,3.74
2025-08-25,28.3,24.0,0.2,16.7,3.64
2025-08-26,27.4,23.7,0.3,20.4,3.28
2025-08-27,27.4,23.5,1.2,17.1,4.1
2025-08-28,28.0,22.7,0.9,14.0,3.75
2025-08-29,28.1,23.8,0.6,16.9,4.01
2025-08-30,27.5,23.8,13.6,18.0,3.46
2025-08-31,28.0,23.4,0.8,17.5,4.28
2025-09-01,28.3,23.2,0.2,14.1,4.24
2025-09-02,28.4,23.7,0.2,17.6,3.85
2025-09-03,27.9,24.0,1.5,19.0,4.16
2025-09-04,28.5,23.5,0.5,15.3,4.3
2025-09-05,28.6,23.3,1.0,12.9,4.35
2025-09-06,29.2,23.7,0.9,12.7,4.19
2025-09-07,29.1,24.5,0.5,15.0,4.05
2025-09-08,28.8,24.5,8.4,14.0,3.0
2025-09-09,27.6,23.8,9.3,13.8,2.51
2025-09-10,28.9,24.0,1.9,13.8,3.89
2025-09-11,29.1,24.5,3.4,13.8,3.94
2025-09-12,26.4,24.5,8.9,16.6,2.31
2025-09-13,27.9,23.9,9.2,15.5,3.44
2025-09-14,28.4,23.5,7.4,12.8,3.49
2025-09-15,27.9,24.0,24.1,13.7,2.92
2025-09-16,26.9,23.2,40.0,11.5,1.38
2025-09-17,28.2,24.0,10.7,12.0,3.21
2025-09-18,27.6,23.7,4.5,11.7,3.04
2025-09-19,29.1,24.0,2.2,14.5,4.28
2025-09-20,29.5,23.5,1.0,14.5,3.87
2025-09-21,28.6,24.0,3.4,14.6,3.24
2025-09-22,28.5,24.7,6.4,12.6,2.65
2025-09-23,30.0,24.5,11.2,10.1,3.07
2025-09-24,26.6,23.5,19.6,11.1,1.61
2025-09-25,28.2,24.0,8.4,12.6,3.2
2025-09-26,28.8,23.9,1.5,15.0,4.1
2025-09-27,28.9,24.5,1.4,13.6,4.09
2025-09-28,29.0,24.6,17.5,13.9,3.06
2025-09-29,27.9,23.6,12.7,11.8,2.17
2025-09-30,29.5,23.6,7.0,11.3,3.15
2025-10-01,27.4,23.2,6.6,9.6,1.89
2025-10-02,29.4,23.6,3.6,11.4,3.82
2025-10-03,28.8,24.4,2.6,11.5,3.64
2025-10-04,29.6,25.1,1.6,15.7,4.2
2025-10-05,27.4,23.6,20.4,12.4,1.79
2025-10-06,29.0,23.2,10.2,11.0,3.32
2025-10-07,27.4,23.3,18.1,10.6,2.01
2025-10-08,28.0,23.3,4.0,14.4,3.36
2025-10-09,29.7,23.5,0.8,11.7,4.22
2025-10-10,29.5,24.5,17.4,12.2,3.12
2025-10-11,29.2,24.4,3.0,11.0,2.68
2025-10-12,29.5,24.0,1.4,10.5,3.52
2025-10-13,29.8,24.5,12.3,11.2,3.97
2025-10-14,28.8,24.3,1.7,9.8,3.02
2025-10-15,29.6,24.4,2.8,10.7,3.8
2025-10-16,29.9,23.6,13.0,10.8,3.9
2025-10-17,30.0,24.5,1.9,8.9,4.29
2025-10-18,30.0,24.9,9.7,9.7,3.97
2025-10-19,30.0,25.0,4.2,13.7,4.21
2025-10-20,29.9,25.6,0.6,14.6,4.24
2025-10-21,31.3,24.6,0.1,12.6,4.55
2025-10-22,30.1,25.2,2.6,12.5,4.07
2025-10-23,29.1,24.4,2.2,12.4,3.24
